공원,2026년 08월,2026년 07월,2026년 06월,2026년 05월,2026년 04월,2026년 03월,2026년 02월,2026년 01월,2025년 12월,2025년 11월,2025년 10월,2025년 09월,2025년 08월,2025년 07월,2025년 06월,2025년 05월,2025년 04월,2025년 03월,2025년 02월,2025년 01월,2024년 12월,2024년 11월,2024년 10월,2024년 09월,2024년 08월,2024년 07월,2024년 06월,2024년 05월,2024년 04월,2024년 03월,2024년 02월,2024년 01월,2023년 12월,2023년 11월,2023년 10월,2023년 09월,합계
한라산,32,79,59,22,45,26,27,39,51,80,48,21,57,67,25,17,53,97,51,27,77,60,10,9,23,12,4,7,9,12,11,13,46,32,7,13,1268
지리산,38,66,30,66,53,29,46,38,30,85,22,14,14,19,42,78,21,176,39,73,20,35,13,9,16,30,33,40,16,22,19,3,4,8,16,15,1278
경주,27,16,14,9,22,18,15,12,1,9,17,17,8,0,14,8,37,25,5,8,8,19,5,23,21,89,40,23,12,12,3,0,0,7,12,3,559
소백산,35,20,15,50,14,42,37,9,5,26,11,18,9,24,31,39,15,17,10,4,0,6,8,5,2,16,18,28,25,12,24,1,1,16,8,4,605
주왕산,9,28,4,591,15,16,8,4,1,26,21,19,14,11,10,2,21,37,9,4,0,9,18,3,2,2,2,12,2,2,4,1,0,15,19,3,944
속리산,8,11,24,2,16,16,5,11,1,14,14,10,8,21,18,2,5,13,4,13,0,20,25,4,11,9,4,12,7,8,37,2,14,41,5,6,421
내장산,2,26,8,36,12,9,8,5,10,60,52,8,52,3,14,26,8,9,4,18,1,31,30,19,9,11,3,5,7,4,6,4,3,4,9,5,521
덕유산,1,5,0,33,10,16,7,11,16,28,14,3,24,9,23,31,24,31,3,9,19,7,3,2,3,8,0,2,2,7,3,6,2,11,3,4,380
설악산,34,50,76,38,21,15,44,49,18,23,84,23,10,24,48,38,43,10,9,15,0,19,24,2,1,2,8,3,2,1,2,13,3,3,14,4,773
팔공산,77,62,31,47,41,83,13,8,14,2,9,17,6,8,37,34,20,46,61,5,2,6,15,3,3,31,10,23,6,11,1,5,2,2,1,1,743
금정산,15,20,22,18,56,139,62,35,28,123,122,47,2,15,14,1,1,1,2,13,29,3,2,2,15,0,2,1,0,0,0,0,0,0,1,0,791
북한산,7,19,18,29,47,36,20,11,22,22,39,29,7,5,6,43,12,11,17,0,2,11,4,10,13,2,5,19,47,16,5,2,4,4,35,6,585
가야산,3,11,15,3,7,14,0,10,16,15,6,5,1,9,9,6,9,20,15,8,1,2,14,14,8,16,18,11,4,10,8,5,12,16,7,4,332
계룡산,15,21,12,4,11,10,17,4,8,22,22,4,1,7,3,8,10,13,7,7,0,5,18,2,9,5,4,22,18,8,1,1,2,17,7,3,328
무등산,15,4,24,43,49,31,21,50,32,24,43,16,9,30,10,22,30,23,9,4,4,33,23,25,45,25,11,11,2,2,4,3,4,10,1,4,696
치악산,1,2,8,9,3,11,10,2,6,3,3,2,8,13,14,3,23,35,19,2,2,4,14,13,0,0,5,2,2,3,2,0,2,19,18,27,290
월악산,3,3,27,6,5,12,6,6,3,7,0,7,8,5,6,8,7,17,4,7,0,5,1,3,10,0,8,10,7,3,9,2,1,6,11,1,224
오대산,6,2,15,8,10,7,11,13,9,18,16,25,4,2,17,10,11,7,20,4,2,6,7,10,4,4,2,5,6,34,2,3,5,2,1,5,313
월출산,8,6,5,4,2,7,4,17,7,24,16,8,7,4,4,2,5,1,1,0,4,27,70,25,9,25,3,21,4,0,3,4,26,4,4,0,361
태백산,16,8,8,14,17,11,78,77,15,20,5,1,0,4,3,5,8,6,14,3,2,11,16,4,2,4,1,22,4,7,7,5,1,1,4,7,411
태안해안,3,3,1,2,8,5,0,2,7,4,8,4,2,0,0,0,12,0,0,3,1,2,8,6,7,7,5,3,11,2,9,0,3,5,5,5,143
변산반도,2,7,2,8,12,6,14,0,4,19,6,3,1,12,4,3,1,2,11,9,0,3,9,3,10,12,6,2,5,1,11,0,0,5,6,5,204
한려해상,18,5,14,4,16,9,3,5,0,10,4,11,11,8,9,5,10,2,2,0,2,2,7,4,1,4,5,16,2,5,0,3,2,1,15,7,222
다도해해상,1,4,0,0,2,0,3,1,1,0,2,1,1,0,1,0,0,2,0,1,0,4,1,1,2,2,1,2,2,3,4,4,0,2,0,1,49
